lng,lat,store_id,star_rating,comp_cvs,comp_walgreens,comp_ttl_store,store_sales_usd_amt,age_millenials,modeled_vs_actual_quadrant,city,county_name,state_name,owner_name,dma_name
-73.97383,40.75425,Duane Reade_14112,1,110,49,1524,1398666.34,134,Bottom,New York,New York,New York,Walgreens,New York
-73.97413,40.759,Duane Reade_14127,1,87,36,80,1398666.34,130,Bottom,New York,New York,New York,Walgreens,New York
-73.9896,40.76309,Duane Reade_14239,1,127,59,149,1398666.34,124,Bottom,New York,New York,New York,Walgreens,New York
-73.95962,40.77327,Duane Reade_14292,1,72,40,77,1398666.34,132,Bottom,New York,New York,New York,Walgreens,New York
-73.99687,40.74199,Duane Reade_14319,1,171,77,127,1398666.34,145,Bottom,New York,New York,New York,Walgreens,New York
-73.96283,40.75876,Duane Reade_14392,1,79,45,68,1398666.34,135,Bottom,New York,New York,New York,Walgreens,New York
-74.00432,40.70746,Duane Reade_14436,1,135,61,91,1398666.34,116,Bottom,New York,New York,New York,Walgreens,New York
-73.9907,40.73478,Duane Reade_14468,1,104,20,56,1398666.34,140,Bottom,New York,New York,New York,Walgreens,New York
-73.98225,40.77842,Duane Reade_14486,1,137,42,60,1398666.34,119,Bottom,New York,New York,New York,Walgreens,New York
-74.01141,40.71158,Duane Reade_15940,1,102,70,219,1398666.34,161,Bottom,New York,New York,New York,Walgreens,New York
-73.97879,40.76013,Duane Reade_21354,1,108,107,319,1398666.34,144,Bottom,New York,New York,New York,Walgreens,New York
-78.79307,33.77733,Kroger_01100016,4,158,233,191,2596785.39,155,Top,Myrtle Beach,Horry,South Carolina,Kroger,Myrtle Beach-Florence
-78.96641,33.76061,Kroger_01100026,4,58,40,55,2596785.39,106,Top,Myrtle Beach,Horry,South Carolina,Kroger,Myrtle Beach-Florence
-84.53765,33.56793,Kroger_01100247,4,62,60,77,2596785.39,109,Top,Union City,Fulton,Georgia,Kroger,Atlanta
-84.31422,33.81743,Kroger_01100318,2,118,84,84,2596785.39,103,Bottom,Atlanta,DeKalb,Georgia,Kroger,Atlanta
-84.41524,33.5609,Kroger_01100319,5,57,58,76,2596785.39,95,Top,Riverdale,Clayton,Georgia,Kroger,Atlanta
-84.38167,33.88945,Kroger_01100350,1,72,36,70,2596785.39,108,Bottom,Atlanta,Fulton,Georgia,Kroger,Atlanta
-83.70958,32.87322,Kroger_01100355,4,106,51,78,2596785.39,96,Top,Macon,Bibb,Georgia,Kroger,Macon
-84.05994,33.88457,Kroger_01100394,4,88,73,112,2596785.39,106,Top,Lilburn,Gwinnett,Georgia,Kroger,Atlanta
-84.50811,34.19277,Kroger_01100402,4,46,38,55,2596785.39,113,Top,Canton,Cherokee,Georgia,Kroger,Atlanta
-84.43458,33.73821,Kroger_01100412,3,140,83,175,2596785.39,101,Top,Atlanta,Fulton,Georgia,Kroger,Atlanta
-84.50373,34.13969,Kroger_01100430,4,85,70,75,2596785.39,107,Underachieving,Woodstock,Cherokee,Georgia,Kroger,Atlanta
